researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10,researcher11,researcher12,researcher13,researcher14,researcher15,researcher16,researcher17,researcher18,researcher19,researcher20,researcher21,researcher22,researcher23,researcher24,researcher25,researcher26,researcher27,researcher28,researcher29,researcher30,researcher31,researcher32,researcher33,researcher34,researcher35,researcher36,researcher37,researcher38,researcher39,researcher40,researcher41,researcher42,researcher43,researcher44,researcher45,researcher46,researcher47,researcher48,researcher49,researcher50,researcher51,researcher52,researcher53,researcher54,researcher55,researcher56,researcher57,researcher58,researcher59,researcher60,researcher61,researcher62,researcher63,researcher64,researcher65,researcher66,researcher67,researcher68,researcher69,researcher70,researcher71,researcher72,researcher73,researcher74,researcher75,researcher76,researcher77,researcher78,researcher79,researcher80,researcher81,researcher82,researcher83,researcher84,researcher85,researcher86,researcher87,researcher88,researcher89,researcher90,researcher91,researcher92,researcher93,researcher94,researcher95,researcher96,researcher97,researcher98,researcher99,researcher100
0 citations*,0 citations*,,,,,,,,,,,,6 citations*,,,,,,,,,,,4 citations*,,,,,3 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 citations*,1 citations*,,,,,,,,,,,,2 citations*,,,,,,,,,,,0 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,28 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 citations*,0 citations*,,,,,,,,,,,,11 citations*,,,,,,,,,,,0 citations*,,,,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 citations* for all,,16 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 citations*,1 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,1 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 citations*,1 citations*,,,,,,,,,,,,14 citations*,,,,,,,,,,,5 citations*,,,,,3 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,102 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 citations*,1 citations*,,,,,,,,,,,,6 citations*,,,,,,,,,,,0 citations*,,,,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,74 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 citations*,0 citations*,,,,,,,,,,,,8 citations*,,,,,,,,,,,0 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 citations* for all,,3 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 citations*,1 citations*,,,,,,,,,,,,7 citations*,,,,,,,,,,,0 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 citations*,,25 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,12 citations*,,,,,,,,,,,4 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 citations*,,8 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,3 citations*,,,,,,,,,,,1 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 citations* for all,,16 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,2 citations*,,,,,,,,,,,4 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 citations*,,248 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,3 citations*,,,,,,,,,,,0 citations*,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,121 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,3 citations*,,,,,,,,,,,0 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,8 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,112 citations*,,42 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,4 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 citations* for all,,95 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,10 citations*,,,,,,,,,,,0 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 citations*,,70 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,2 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 citations*,,75 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,0 citations*,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 citations* for all,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,7 citations*,,,,,,,,,,,5 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 citations*,,168 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,5 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,2 citations*,,,,,,,,,,,7 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 citations* for all,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,3 citations*,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,2 citations*,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,3 citations*,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 citations* for all,,55 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,2 citations*,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 citations*,,17 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,28 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59 citations*,,114 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 citations*,,28 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 citations*,,8 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 citations* for all,,59 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,4 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,7 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 citations* for all,,60 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 citations*,,244 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,185 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 citations*,,23 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 citations* for all,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 citations*,,62 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 citations*,,104 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 citations*,,66 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 citations*,,26 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 citations*,,214 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 citations*,,86 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59 citations* for all,,14 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,7 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,73 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 citations* for all,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,163 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,7 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 citations* for all,,95 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 citations*,,82 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 citations* for all,,124 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 citations*,,28 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 citations*,,16 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 citations*,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 citations*,,22 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 citations* for all,,6 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 citations*,,22 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,21 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,13 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 citations* for all,,20 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 citations*,,70 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,62 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 citations*,,7 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67 citations*,,53 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 citations*,,62 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 citations* for all,,6 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 citations*,,107 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,8 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156 citations*,,88 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 citations* for all,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43 citations*,,31 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 citations*,,102 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 citations* for all,,200 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 citations*,,141 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 citations*,,61 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,6 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 citations* for all,,8 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 citations*,,5 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,79 citations* for all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 citations*,,79 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 citations*,,4 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 citations* for all,,10 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 citations*,,25 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,12 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 citations*,,52 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 citations* for all,,55 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 citations*,,6 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,2 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 citations* for all,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 citations*,,160 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 citations*,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 citations* for all,,224 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23 citations*,,3 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 citations*,,72 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 citations*,,113 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 citations*,,1 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33 citations* for all,,5 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 citations*,,200 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 citations*,,59 citations*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
